Tree_order,Gene,Protein,iTOL_label,Protein_name,Type,Class,Sequence,Signal_peptide,ECD_start,ECD_end,TM,Cytoplasm,MW_ECD,MW_(ECD+FC),Tree,Cloning,AddGene,Batch,Expression,Size,Glycan_array,ARM,Simple_Class
1,AT2G23450,AT2G23450.1,AT2G23450 WAKL14,WAKL14,RLK,WAKL,Y,42,43,293,294-305,306-708,27.1,56.9,Y,,,,,,,,WAK
2,AT2G48010,AT2G48010.1,AT2G48010 RKF3,RKF3,RLK,RKF3,Y,20,21,212,213-233,234-617,20.5,50.3,Y,X303,,#4,4,O,O,,Etc
3,AT4G02010,AT4G02010.1,AT4G02010 ,,RLK,Extensin,Y,41,42,306,307-327,328-725,28.6,58.4,Y,X272,,#5,5,O,O,,Etc
4,AT1G30570,AT1G30570.1,AT1G30570 HERK2,HERK2,RLK,CrRLK1L-1,Y,26,27,429,430-453,454-849,44.2,74,Y,F11,,#16,0,,,,CrRLK1L-1
5,AT5G38260,AT5G38260.1,AT5G38260 ,,RLK,LRK10L-2,Y,29,30,262,263-285,286-638,26.1,55.9,Y,X291,,#5,4,O,O,,Etc
6,AT5G60900,AT5G60900.1,AT5G60900 RLK1,RLK1,RLK,SD-2b,Y,24,25,434,435-444,445-748,45.8,75.6,Y,I06,,#8,2,O,,,SD-RK
7,AT1G19090,AT1G19090.1,AT1G19090 CRK1/RKF2,CRK1/RKF2,RLK,DUF26,Y,25,26,266,267-287,288-600,27.3,57.1,Y,,,,,,,,CRK
8,AT5G42120,AT5G42120.1,AT5G42120 LECRK-S.6,LECRK-S.6,RLK,L-LEC,Y,25,26,310,311-331,332-691,31.5,61.3,Y,X259,,#5,0,,,,L-LEC-RK
9,AT5G65600,AT5G65600.1,AT5G65600 LECRK-IX.2,LECRK-IX.2,RLK,L-LEC,Y,35,36,283,284-306,307-675,27.2,57,Y,X261,,#6,1,O,O,,L-LEC-RK
10,AT5G10530,AT5G10530.1,AT5G10530 LECRK-IX.1,LECRK-IX.1,RLK,L-LEC,Y,19,20,268,269-291,292-651,27.4,57.2,Y,X260,,#5,2,O,O,,L-LEC-RK
11,AT2G29220,AT2G29220.1,AT2G29220 LECRK-III.1,LECRK-III.1,RLK,L-LEC,Y,23,24,305,306-326,327-627,30.3,60.1,Y,X264,,#4,5,O,O,,L-LEC-RK
12,AT2G29250,AT2G29250.1,AT2G29250 LECRK-III.2,LECRK-III.2,RLK,L-LEC,Y,23,24,303,304-324,325-623,30.1,59.9,Y,X263,,#6,4,O,O,,L-LEC-RK
13,AT5G59260,AT5G59260.1,AT5G59260 LECRK-II.1,LECRK-II.1,RLK,L-LEC,Y,24,25,301,302-322,323-674,30.3,60.1,Y,,,,,,,,L-LEC-RK
14,AT3G45420,AT3G45420.1,AT3G45420 LECRK-I.4,LECRK-I.4,RLK,L-LEC,Y,22,23,294,295-315,316-667,30,59.8,Y,X244,,#4,4,O,O,,L-LEC-RK
15,AT3G45410,AT3G45410.1,AT3G45410 LECRK-I.3,LECRK-I.3,RLK,L-LEC,Y,22,23,286,287-307,308-664,29.1,58.9,Y,X243,,#4,4,O,O,,L-LEC-RK
16,AT3G45430,AT3G45430.1,AT3G45430 LECRK-I.5/P2K2,LECRK-I.5/P2K2,RLK,L-LEC,Y,22,23,287,288-308,309-674,29.1,58.9,Y,X247,,#4,4,O,O,,L-LEC-RK
17,AT5G60310,AT5G60310.1,AT5G60310 LECRK-I.10,LECRK-I.10,RLK,L-LEC,Y,22,23,287,288-309,310-616,29.3,59.1,Y,X249,,#6,5,O,O,,L-LEC-RK
18,AT5G60300,AT5G60300.1,AT5G60300 LECRK-I.9/P2K1,LECRK-I.9/P2K1,RLK,L-LEC,Y,21,22,288,289-309,310-718,29.4,59.2,Y,X248,,#5,5,O,O,,L-LEC-RK
19,AT3G45440,AT3G45440.1,AT3G45440 LECRK-I.6,LECRK-I.6,RLK,L-LEC,Y,21,22,288,289-309,310-669,29,58.8,Y,X245,,#4,4,O,O,,L-LEC-RK
20,AT4G28350,AT4G28350.1,AT4G28350 LECRK-VII.2,LECRK-VII.2,RLK,L-LEC,Y,23,24,277,278-287,288-649,27.5,57.3,Y,X254,,#5,5,O,O,,L-LEC-RK
21,AT4G04960,AT4G04960.1,AT4G04960 LECRK-VII.1,LECRK-VII.1,RLK,L-LEC,Y,20,21,285,286-310,311-686,29,58.8,Y,X255,,#5,4,O,O,,L-LEC-RK
22,AT4G29050,AT4G29050.1,AT4G29050 LECRK-V.9,LECRK-V.9,RLK,L-LEC,Y,21,22,286,287-310,311-669,29.4,59.2,Y,X228,,#7,3,O,O,,L-LEC-RK
23,AT5G60280,AT5G60280.1,AT5G60280 LECRK-I.8,LECRK-I.8,RLK,L-LEC,Y,23,24,284,285-305,306-657,28.3,58.1,Y,X246,,#5,3,O,O,,L-LEC-RK
24,AT5G60320,AT5G60320.1,AT5G60320 LECRK-I.11,LECRK-I.11,RLK,L-LEC,Y,22,23,293,294-314,315-675,29.5,59.3,Y,X242,,#6,5,O,O,,L-LEC-RK
25,AT3G45330,AT3G45330.1,AT3G45330 LECRK-I.1,LECRK-I.1,RLK,L-LEC,Y,25,26,293,294-314,315-682,29.2,59.1,Y,X240,,#4,1,O,O,,L-LEC-RK
26,AT1G70110,AT1G70110.1,AT1G70110 LECRK-V.1,LECRK-V.1,RLK,L-LEC,Y,18,19,289,290-311,312-666,30.3,60.1,Y,X229,,#7,5,O,O,,L-LEC-RK
27,AT4G02410,AT4G02410.1,AT4G02410 LECRK-IV.3/LPK1,LECRK-IV.3/LPK1,RLK,L-LEC,Y,24,25,298,299-321,322-674,30.4,60.3,Y,X232,,#7,4,O,O,,L-LEC-RK
28,AT2G37710,AT2G37710.1,AT2G37710 LECRK-IV.1,LECRK-IV.1,RLK,L-LEC,Y,22,23,291,292-312,313-675,29.6,59.5,Y,X230,,#7,5,O,O,,L-LEC-RK
29,AT3G53810,AT3G53810.1,AT3G53810 LECRK-IV.2,LECRK-IV.2,RLK,L-LEC,Y,22,23,291,292-312,313-677,30,59.8,Y,,,,,,,,L-LEC-RK
30,AT4G02420,AT4G02420.1,AT4G02420 LECRK-IV.4,LECRK-IV.4,RLK,L-LEC,Y,23,24,294,295-315,316-669,30.2,60,Y,X233,,#5,3,O,O,,L-LEC-RK
31,AT3G55550,AT3G55550.1,AT3G55550 LECRK-S.4,LECRK-S.4,RLK,L-LEC,Y,21,22,292,293-313,314-684,29.7,59.5,Y,X234,,#5,4,O,O,,L-LEC-RK
32,AT3G08870,AT3G08870.1,AT3G08870 LECRK-VI.1,LECRK-VI.1,RLK,L-LEC,Y,29,30,311,312-333,334-693,31.5,61.3,Y,X239,,#4,3,O,O,,L-LEC-RK
33,AT5G01550,AT5G01550.1,AT5G01550 LECRK-VI.3/LECRKA4.2,LECRK-VI.3/LECRKA4.2,RLK,L-LEC,Y,14,15,306,307-327,328-688,32,61.8,Y,X236,,#5,5,O,O,,L-LEC-RK
34,AT5G01540,AT5G01540.1,AT5G01540 LECRK-VI.2/LECRKA4.1,LECRK-VI.2/LECRKA4.1,RLK,L-LEC,Y,26,27,309,310-333,334-682,31.4,61.2,Y,X238,,#5,5,O,O,,L-LEC-RK
35,AT5G01560,AT5G01560.1,AT5G01560 LECRK-VI.4/LECRKA4.3,LECRK-VI.4/LECRKA4.3,RLK,L-LEC,Y,24,25,308,309-329,330-691,31.2,61,Y,X237,,#5,4,O,O,,L-LEC-RK
36,AT5G55830,AT5G55830.1,AT5G55830 LECRK-S.7,LECRK-S.7,RLK,L-LEC,Y,28,29,307,308-328,329-681,30.8,60.6,Y,X258,,#5,5,O,O,,L-LEC-RK
37,AT3G53380,AT3G53380.1,AT3G53380 LECRK-VIII.1,LECRK-VIII.1,RLK,L-LEC,Y,21,22,320,321-339,340-715,31.3,61.1,Y,X256,,#5,5,O,O,,L-LEC-RK
38,AT5G03140,AT5G03140.1,AT5G03140 LECRK-VIII.2,LECRK-VIII.2,RLK,L-LEC,Y,30,31,318,319-338,339-711,30.4,60.2,Y,X257,,#5,5,O,O,,L-LEC-RK
39,AT2G43690,AT2G43690.1,AT2G43690 LECRK-V.3,LECRK-V.3,RLK,L-LEC,Y,26,27,278,279-301,302-664,27.9,57.7,Y,X226,,#7,4,O,O,,L-LEC-RK
40,AT3G59730,AT3G59730.1,AT3G59730 LECRK-V.6,LECRK-V.6,RLK,L-LEC,Y,27,28,277,278-300,301-523,28,57.8,Y,X224,,#7,5,O,O,,L-LEC-RK
41,AT3G59740,AT3G59740.1,AT3G59740 LECRK-V.7,LECRK-V.7,RLK,L-LEC,Y,25,26,277,278-300,301-659,27.7,57.6,Y,X221,,#7,5,O,O,,L-LEC-RK
42,AT2G43700,AT2G43700.1,AT2G43700 LECRK-V.4,LECRK-V.4,RLK,L-LEC,Y,25,26,279,280-300,301-658,28.1,57.9,Y,X225,,#7,1,O,O,,L-LEC-RK
43,AT3G59750,AT3G59750.1,AT3G59750 LECRK-V.8,LECRK-V.8,RLK,L-LEC,Y,21,22,245,246-268,269-626,24.8,54.6,Y,X222,,#7,5,O,O,,L-LEC-RK
44,AT3G59700,AT3G59700.1,AT3G59700 LECRK-V.5/LECRK1,LECRK-V.5/LECRK1,RLK,L-LEC,Y,25,26,280,281-303,304-661,28,57.8,Y,X223,,#7,5,O,O,,L-LEC-RK
45,AT1G70130,AT1G70130.1,AT1G70130 LECRK-V.2,LECRK-V.2,RLK,L-LEC,Y,23,24,276,277-301,302-656,27.6,57.4,Y,X227,,#7,5,O,O,,L-LEC-RK
46,AT5G60270,AT5G60270.1,AT5G60270 LECRK-I.7,LECRK-I.7,RLK,L-LEC,Y,21,22,288,289-307,308-668,29,58.8,Y,X250,,#5,4,O,O,,L-LEC-RK
47,AT3G45390,AT3G45390.1,AT3G45390 LECRK-I.2,LECRK-I.2,RLK,L-LEC,Y,24,25,296,297-317,318-604,29.9,59.7,Y,X241,,#4,1,O,O,,L-LEC-RK
48,AT2G46850,AT2G46850.1,AT2G46850 ,,RLK,WAKL,Y,30,31,283,284-304,305-633,28,57.8,Y,X266,,#4,4,O,O,,WAK
49,AT3G53840,AT3G53840.1,AT3G53840 ,,RLK,WAKL,Y,25,26,284,285-303,304-639,29,58.8,Y,,,,,,,,WAK
50,AT5G02070,AT5G02070.1,AT5G02070 ,,RLK,WAKL,Y,28,29,293,294-314,315-657,28.4,58.2,Y,,,,,,,,WAK
51,AT4G32300,AT4G32300.1,AT4G32300 SD2-5,SD2-5,RLK,SD-2b,Y,21,22,429,430-450,451-821,43.5,73.3,Y,X218,,#7,4,O,O,,SD-RK
52,AT5G66790,AT5G66790.1,AT5G66790 ,,RLK,WAKL,Y,21,22,248,249-269,270-622,25,54.8,Y,,,,,,,,WAK
53,AT3G55950,AT3G55950.1,AT3G55950 CCR3,CCR3,RLK,CR4L,Y,30,31,395,396-416,417-814,38.4,68.2,Y,H05,,#11,5,O,O,,Etc
54,AT5G47850,AT5G47850.1,AT5G47850 CCR4,CCR4,RLK,CR4L,Y,31,32,366,367-387,388-751,37.2,67,Y,H04,,#11,4,O,O,,Etc
55,AT5G35370,AT5G35370.1,AT5G35370 ,,RLK,SD-2b,Y,23,24,444,445-465,466-872,45.6,75.4,Y,X220,,#7,0,,O,,SD-RK
56,AT4G11900,AT4G11900.1,AT4G11900 ,,RLK,SD1,Y,26,27,470,471-490,491-849,49.8,79.6,Y,X213,,#7,0,,O,,SD-RK
57,AT4G00340,AT4G00340.1,AT4G00340 RLK4/SD-RLK28,RLK4/SD-RLK28,RLK,SD-2b,Y,22,23,422,423-446,447-818,45,74.8,Y,X215,,#7,5,O,O,,SD-RK
58,AT2G19130,AT2G19130.1,AT2G19130 ,,RLK,SD-2b,Y,22,23,439,440-463,464-828,46.8,76.6,Y,X216,,#7,1,O,O,,SD-RK
59,AT1G11410,AT1G11410.1,AT1G11410 ,,RLK,SD1,Y,21,22,441,442-462,463-845,47.5,77.3,Y,X187,,#11,4,O,O,,SD-RK
60,AT1G11340,AT1G11340.1,AT1G11340 ,,RLK,SD1,Y,0,82,506,507-529,530-901,48.5,78.3,Y,X186,,#7,1,O,O,,SD-RK
61,AT1G61610,AT1G61610.1,AT1G61610 ,,RLK,SD1,Y,26,27,443,444-465,466-842,47.2,77,Y,X196,,#11,5,O,O,,SD-RK
62,AT4G21390,AT4G21390.1,AT4G21390 B120,B120,RLK,SD1,Y,25,26,438,439-459,460-849,46.4,76.2,Y,X195,,#11,5,O,O,,SD-RK
63,AT1G11300,AT1G11300.1,AT1G11300 EGM1,EGM1,RLK,SD1,Y,26,852,1266,1267-1287,1288-1650,46.5,76.3,Y,X192,,#11,2,O,O,,SD-RK
64,AT1G11350,AT1G11350.1,AT1G11350 CBRLK1/SD1-13/RKS2,CBRLK1/SD1-13/RKS2,RLK,SD1,Y,21,22,434,435-457,458-830,46.4,76.2,Y,X194,,#11,2,O,O,,SD-RK
65,AT1G11330,AT1G11330.1,AT1G11330 RDA2/SD1-13,RDA2/SD1-13,RLK,SD1,Y,29,30,446,447-467,468-840,46.4,76.3,Y,X193,,#11,3,O,O,,SD-RK
66,AT1G61370,AT1G61370.1,AT1G61370 ,,RLK,SD1,Y,25,26,433,434-454,455-814,45.1,74.9,Y,X208,,#7,4,O,O,,SD-RK
67,AT1G61360,AT1G61360.1,AT1G61360 ,,RLK,SD1,Y,20,21,427,428-450,451-821,44.8,74.6,Y,X211,,#7,4,O,O,,SD-RK
68,AT1G61380,AT1G61380.1,AT1G61380 LORE/SD1-29,LORE/SD1-29,RLK,SD1,Y,21,22,428,429-451,452-805,44.8,74.6,Y,X210,,#7,3,O,O,,SD-RK
69,AT1G61390,AT1G61390.1,AT1G61390 ,,RLK,SD1,Y,42,43,449,450-470,471-831,45,74.8,Y,X204,,#7,3,O,O,,SD-RK
70,AT1G11280,AT1G11280.1,AT1G11280 ,,RLK,SD1,Y,38,39,444,445-465,466-830,44.8,74.6,Y,,,,,,,,SD-RK
71,AT1G61480,AT1G61480.1,AT1G61480 ,,RLK,SD1,Y,24,25,425,426-448,449-809,44.6,74.4,Y,X202,,#7,4,O,O,,SD-RK
72,AT1G61550,AT1G61550.1,AT1G61550 ERN1,ERN1,RLK,SD1,Y,19,20,421,422-442,443-802,44.2,74,Y,X203,,#7,3,O,O,,SD-RK
73,AT1G61500,AT1G61500.1,AT1G61500 ,,RLK,SD1,Y,25,26,427,428-448,449-804,44.7,74.5,Y,X200,,#7,0,,O,,SD-RK
74,AT1G61420,AT1G61420.1,AT1G61420 ,,RLK,SD1,Y,24,25,426,427-448,449-807,44.4,74.2,Y,X201,,#7,1,O,O,,SD-RK
75,AT1G61490,AT1G61490.1,AT1G61490 ,,RLK,SD1,Y,24,25,425,426-448,449-804,44.2,74,Y,X199,,#7,3,O,O,,SD-RK
76,AT1G61430,AT1G61430.1,AT1G61430 ,,RLK,SD1,Y,24,25,425,426-446,447-806,44.3,74.1,Y,X205,,#7,2,O,O,,SD-RK
77,AT1G61400,AT1G61400.1,AT1G61400 ,,RLK,SD1,Y,34,35,436,437-457,458-819,44.4,74.2,Y,X206,,#7,2,O,O,,SD-RK
78,AT1G61440,AT1G61440.1,AT1G61440 ,,RLK,SD1,Y,17,18,419,420-440,441-792,44.8,74.6,Y,X207,,#7,1,O,O,,SD-RK
79,AT1G61460,AT1G61460.1,AT1G61460 ,,RLK,SD1,Y,0,1,241,242-262,263-598,27.1,56.9,Y,X212,,#7,3,O,O,,SD-RK
80,AT4G27290,AT4G27290.1,AT4G27290 ,,RLK,SD1,Y,23,24,500,501-510,511-783,53.7,83.5,Y,,,,,,,,SD-RK
81,AT4G21380,AT4G21380.1,AT4G21380 ARK3/RK3,ARK3/RK3,RLK,SD1,Y,28,29,441,442-462,463-850,46.4,76.2,Y,X190,,#11,2,O,O,,SD-RK
82,AT1G65800,AT1G65800.1,AT1G65800 ARK2/RK2,ARK2/RK2,RLK,SD1,Y,27,28,439,440-460,461-847,46.4,76.2,Y,X188,,#11,1,O,O,,SD-RK
83,AT1G65790,AT1G65790.1,AT1G65790 ARK1/RK1,ARK1/RK1,RLK,SD1,Y,27,28,435,436-456,457-843,46.5,76.3,Y,X189,,#7,5,O,O,,SD-RK
84,AT4G27300,AT4G27300.1,AT4G27300 ,,RLK,SD1,Y,22,23,438,439-459,460-815,46.8,76.6,Y,X183,,#7,0,,O,,SD-RK
85,AT3G09780,AT3G09780.1,AT3G09780 CRR1,CRR1,RLK,CR4L,Y,23,24,438,439-460,461-775,44.1,73.9,Y,H03,,#11,2,O,,,Etc
86,AT2G39180,AT2G39180.1,AT2G39180 CRR2,CRR2,RLK,CR4L,Y,22,23,431,432-453,454-776,44.5,74.3,Y,H02,,#11,1,O,,,Etc
87,AT4G03230,AT4G03230.1,AT4G03230 ,,RLK,SD1,Y,19,20,605,606-629,630-1010,65.9,95.7,Y,X185,,#11,1,O,O,,SD-RK
88,AT1G67520,AT1G67520.1,AT1G67520 ,,RLK,SD1,Y,22,23,401,402-411,412-587,43.2,73,Y,,,,,,,,SD-RK
89,AT3G16030,AT3G16030.1,AT3G16030 CES101/RFO3,CES101/RFO3,RLK,SD1,Y,22,23,423,424-444,445-850,45.3,75.1,Y,X198,,#11,0,,,,SD-RK
90,AT1G16260,AT1G16260.1,AT1G16260 WAKL8,WAKL8,RLK,WAK,Y,23,24,315,316-336,337-720,32.7,62.5,Y,X126,,#15,5,O,O,,WAK
91,AT1G17910,AT1G17910.1,AT1G17910 ,,RLK,WAK,Y,22,23,379,380-400,401-764,38.7,68.5,Y,X123,,#7,5,O,O,,WAK
92,AT1G16120,AT1G16120.1,AT1G16120 WAKL14,WAKL14,RLK,WAK,Y,25,26,355,356-376,377-730,35.6,65.4,Y,X115,,#3,4,O,O,,WAK
93,AT1G16160,AT1G16160.1,AT1G16160 WAKL5,WAKL5,RLK,WAK,Y,0,1,335,336-361,362-711,35.7,65.5,Y,X116,,#3,4,O,O,,WAK
94,AT1G16130,AT1G16130.1,AT1G16130 WAKL2,WAKL2,RLK,WAK,Y,27,28,341,342-362,363-748,34.2,64,Y,X118,,#3,5,O,O,,WAK
95,AT1G16150,AT1G16150.1,AT1G16150 WAKL4,WAKL4,RLK,WAK,Y,26,27,371,372-388,389-779,37.7,67.5,Y,X119,,#3,4,O,O,,WAK
96,AT1G79670,AT1G79670.1,AT1G79670 WAKL22/RFO1,WAKL22/RFO1,RLK,WAK,Y,27,28,346,347-368,369-751,34.2,64,Y,H06,,#3,4,O,O,,WAK
97,AT1G69730,AT1G69730.1,AT1G69730 ,,RLK,WAK,Y,24,25,372,373-393,394-792,38.5,68.4,Y,X124,,#15,3,O,O,,WAK
98,AT1G79680,AT1G79680.1,AT1G79680 ,,RLK,WAK,Y,24,25,358,359-379,380-769,36.5,66.3,Y,X125,,#3,5,O,O,,WAK
99,AT4G31110,AT4G31110.1,AT4G31110 ,,RLK,WAK,Y,26,27,378,379-399,400-793,38.6,68.4,Y,X121,,#15,5,O,O,,WAK
100,AT1G19390,AT1G19390.1,AT1G19390 WAKL11,WAKL11,RLK,WAK,Y,27,28,384,385-397,398-788,38.6,68.4,Y,X122,,#15,5,O,O,,WAK
101,AT4G31100,AT4G31100.1,AT4G31100 ,,RLK,WAK,Y,30,31,369,370-390,391-786,36.8,66.6,Y,X120,,#15,5,O,O,,WAK
102,AT1G16110,AT1G16110.1,AT1G16110 WAKL6,WAKL6,RLK,WAK,Y,28,29,361,362-382,383-642,36.1,65.9,Y,X117,,#3,4,O,O,,WAK
103,AT1G21210,AT1G21210.1,AT1G21210 WAK4,WAK4,RLK,WAK,Y,22,23,335,336-356,357-738,34.4,64.2,Y,H07,,#3,5,O,O,,WAK
104,AT1G21270,AT1G21270.1,AT1G21270 WAK2,WAK2,RLK,WAK,Y,23,24,331,332-350,351-732,34.4,64.2,Y,H08,,#3,4,O,O,,WAK
105,AT1G21240,AT1G21240.1,AT1G21240 WAK3,WAK3,RLK,WAK,Y,23,24,342,343-361,362-741,35.4,65.2,Y,H09,,#3,4,O,O,,WAK
106,AT1G21250,AT1G21250.1,AT1G21250 WAK1/PRO25,WAK1/PRO25,RLK,WAK,Y,24,25,336,337-355,356-735,34.4,64.2,Y,H10,,#3,5,O,O,,WAK
107,AT1G21230,AT1G21230.1,AT1G21230 WAK5,WAK5,RLK,WAK,Y,23,24,335,336-354,355-733,34.7,64.5,Y,X127,,#3,5,O,O,,WAK
108,AT1G11050,AT1G11050.1,AT1G11050 ,,RLK,RKF3,Y,20,21,233,234-252,253-625,22.9,52.7,Y,X302,,#4,4,O,O,,Etc
109,AT1G52310,AT1G52310.1,AT1G52310 ,,RLK,C-LEC,Y,32,33,201,202-222,223-552,18.7,48.5,Y,X269,,#4,5,O,O,,C-LEC-RK
110,AT2G21480,AT2G21480.1,AT2G21480 BUPS2,BUPS2,RLK,CrRLK1L-1,Y,39,40,440,441-461,462-871,44,73.8,Y,F08,,#7,5,O,O,,CrRLK1L-1
111,AT4G39110,AT4G39110.1,AT4G39110 BUPS1/PIR1,BUPS1/PIR1,RLK,CrRLK1L-1,Y,40,41,440,441-461,462-878,43.8,73.6,Y,F09,,#7,5,O,O,,CrRLK1L-1
112,AT1G67000,AT1G67000.1,AT1G67000 ,,RLK,LRK10L-2,Y,26,27,496,497-514,515-892,52.5,82.3,Y,X298,,#5,3,O,O,,Etc
113,AT1G25390,AT1G25390.1,AT1G25390 LRK10L4,LRK10L4,RLK,WAKL,Y,19,20,224,225-245,246-629,22.9,52.7,Y,X286,,#4,5,O,O,,WAK
114,AT1G66930,AT1G66930.1,AT1G66930 LRK10L2,LRK10L2,RLK,LRK10L-2,Y,0,1,282,283-304,305-674,31.3,61.1,Y,X297,,#4,4,O,O,,Etc
115,AT1G66910,AT1G66910.1,AT1G66910 ,,RLK,LRK10L-2,Y,30,31,283,284-299,300-666,28,57.8,Y,X295,,#4,4,O,O,,Etc
116,AT1G67720,AT1G67720.1,AT1G67720 ,,RLK,LRR-I,Y,21,22,531,532-553,554-929,57.8,87.6,Y,M07,114945,#19,3,O,O,,LRR-RK
117,AT2G37050,AT2G37050.3,AT2G37050 SIMP1,SIMP1,RLK,LRR-I,Y,23,24,530,531-552,553-934,56.2,86.1,Y,N03,114952,#19,2,O,O,,LRR-RK
118,AT1G51790,AT1G51790.2,AT1G51790 ,,RLK,LRR-I,Y,23,24,520,521-541,542-934,55.4,85.2,Y,M01,114941,#20,5,O,O,,LRR-RK
119,AT1G51800,AT1G51800.1,AT1G51800 IOS1,IOS1,RLK,LRR-I,Y,23,24,514,515-535,536-894,54.8,84.6,Y,A01,114936,#18,5,O,O,,LRR-RK
120,AT1G51910,AT1G51910.1,AT1G51910 ,,RLK,LRR-I,Y,23,24,510,511-531,532-876,55.1,84.9,Y,X322,,#6,3,O,O,,LRR-RK
121,AT1G51880,AT1G51880.1,AT1G51880 RHS6,RHS6,RLK,LRR-I,Y,23,24,521,522-542,543-880,55.8,85.6,Y,X323,,#7,4,O,O,,LRR-RK
122,AT1G51890,AT1G51890.2,AT1G51890 ,,RLK,LRR-I,Y,19,20,500,501-521,522-898,54.3,84.2,Y,M05,,#20,2,O,O,,LRR-RK
