Tree_order,Gene,Protein,iTOL_label,Protein_name,Type,Class,Sequence,Signal_peptide,ECD_start,ECD_end,TM,Cytoplasm,MW_ECD,MW_(ECD+FC),Tree,Cloning,AddGene,Batch,Expression,Size,Glycan_array,ARM,Simple_Class
123,AT1G51860,AT1G51860.1,AT1G51860 ,,RLK,LRR-I,Y,23,24,513,514-534,535-890,54.9,84.7,Y,X324,,#7,5,O,O,,LRR-RK
124,AT1G51870,AT1G51870.1,AT1G51870 ,,RLK,LRR-I,Y,23,24,462,463-483,484-837,49.2,79,Y,,,,,,,,LRR-RK
125,AT4G29180,AT4G29180.2,AT4G29180 RHS16,RHS16,RLK,LRR-I,Y,22,23,509,510-530,531-913,54.6,84.4,Y,N12,114960,#20,5,O,O,,LRR-RK
126,AT4G29450,AT4G29450.1,AT4G29450 ,,RLK,LRR-I,Y,21,22,515,516-536,537-863,55.7,85.5,Y,O01,114961,#21,5,O,O,,LRR-RK
127,AT1G05700,AT1G05700.2,AT1G05700 ,,RLK,LRR-I,Y,25,26,509,510-531,532-883,53.7,83.5,Y,L09,114937,#3,2,O,O,,LRR-RK
128,AT2G19190,AT2G19190.1,AT2G19190 FRK1,FRK1,RLK,LRR-I,Y,24,25,517,518-538,539-876,55.7,85.5,Y,M10,114947,#10,4,O,O,,LRR-RK
129,AT4G29990,AT4G29990.1,AT4G29990 ,,RLK,LRR-I,Y,21,22,512,513-533,534-876,55.9,85.7,Y,X314,,#6,1,O,O,,LRR-RK
130,AT2G19210,AT2G19210.1,AT2G19210 ,,RLK,LRR-I,Y,25,26,519,520-540,541-881,56.2,86,Y,,,,,,,,LRR-RK
131,AT2G19230,AT2G19230.1,AT2G19230 ,,RLK,LRR-I,Y,24,25,517,518-538,539-1025,56.4,86.2,Y,M11,114949,#20,2,O,O,,LRR-RK
132,AT5G59650,AT5G59650.2,AT5G59650 ,,RLK,LRR-I,Y,23,24,520,521-541,542-892,55.7,85.5,Y,O04,114964,#19,5,O,O,,LRR-RK
133,AT1G07560,AT1G07560.1,AT1G07560 ,,RLK,LRR-I,Y,24,25,510,511-536,537-871,54,83.8,Y,L11,114939,#18,4,O,O,,LRR-RK
134,AT4G20450,AT4G20450.1,AT4G20450 ,,RLK,LRR-I,Y,24,25,538,539-559,560-898,58.1,88,Y,N11,114959,#19,4,O,O,,LRR-RK
135,AT2G28960,AT2G28960.2,AT2G28960 ,,RLK,LRR-I,Y,24,25,508,509-530,531-880,54.8,84.6,Y,M12,114950,#19,5,O,O,,LRR-RK
136,AT2G29000,AT2G29000.1,AT2G29000 ,,RLK,LRR-I,Y,24,25,506,507-527,528-872,54.7,84.5,Y,X317,,#6,0,,O,,LRR-RK
137,AT3G46350,AT3G46350.1,AT3G46350 ,,RLK,LRR-I,Y,24,25,491,492-514,515-871,52.8,82.6,Y,N07,114956,#20,5,O,O,,LRR-RK
138,AT3G46340,AT3G46340.1,AT3G46340 ,,RLK,LRR-I,Y,25,26,514,515-535,536-889,54.9,84.7,Y,N06,114955,#20,5,O,O,,LRR-RK
139,AT3G46420,AT3G46420.1,AT3G46420 ,,RLK,LRR-I,Y,23,24,509,510-525,526-838,54.5,84.3,Y,N10,114958,#20,5,O,O,,LRR-RK
140,AT3G46400,AT3G46400.1,AT3G46400 ,,RLK,LRR-I,Y,24,25,508,509-531,532-883,54.4,84.2,Y,X315,,#6,0,,O,,LRR-RK
141,AT3G46330,AT3G46330.1,AT3G46330 MEE39,MEE39,RLK,LRR-I,Y,25,26,513,514-534,535-878,54.9,84.7,Y,N05,114954,#20,5,O,O,,LRR-RK
142,AT1G07550,AT1G07550.1,AT1G07550 ,,RLK,LRR-I,Y,23,24,507,508-528,529-864,54.6,84.4,Y,L10,114938,#18,0,,,,LRR-RK
143,AT2G14510,AT2G14510.1,AT2G14510 ,,RLK,LRR-I,Y,23,24,510,511-531,532-868,54.8,84.6,Y,,,,,,,,LRR-RK
144,AT2G14440,AT2G14440.1,AT2G14440 ,,RLK,LRR-I,Y,23,24,528,529-549,550-886,56.8,86.6,Y,X319,,#6,3,O,O,,LRR-RK
145,AT5G59660,AT5G59660.3,AT5G59660 ,,RLK,LRR-I,Y,35,36,450,451-471,472-855,45.8,75.6,Y,X308,,#6,3,O,O,,LRR-RK
146,AT5G59670,AT5G59670.2,AT5G59670 ,,RLK,LRR-I,Y,22,23,502,503-522,523-868,54,83.8,Y,O06,114965,#22,3,O,O,,LRR-RK
147,AT5G59680,AT5G59680.1,AT5G59680 ,,RLK,LRR-I,Y,23,24,510,511-531,532-887,54.2,84,Y,O07,,#19,5,O,O,,LRR-RK
148,AT5G16900,AT5G16900.3,AT5G16900 ,,RLK,LRR-I,Y,20,21,514,515-535,536-866,55.5,85.3,Y,O02,114962,#19,2,O,O,,LRR-RK
149,AT1G49100,AT1G49100.1,AT1G49100 ,,RLK,LRR-I,Y,24,25,517,518-539,540-888,54.4,84.2,Y,L12,114940,#20,5,O,O,,LRR-RK
150,AT3G21340,AT3G21340.1,AT3G21340 ,,RLK,LRR-I,Y,27,28,519,520-542,543-899,54.7,84.5,Y,N04,114953,#20,5,O,O,,LRR-RK
151,AT2G04300,AT2G04300.2,AT2G04300 ,,RLK,LRR-I,Y,26,27,523,524-544,545-892,55.3,85.2,Y,X320,,#6,3,O,O,,LRR-RK
152,AT1G51805,AT1G51805.1,AT1G51805 SIF3,SIF3,RLK,LRR-I,Y,20,21,508,509-529,530-884,54,83.9,Y,X327,,#7,5,O,O,,LRR-RK
153,AT1G51850,AT1G51850.2,AT1G51850 SIF2,SIF2,RLK,LRR-I,Y,20,21,509,510-530,531-885,54.3,84.1,Y,X325,,#7,5,O,O,,LRR-RK
154,AT1G51820,AT1G51820.1,AT1G51820 SIF4,SIF4,RLK,LRR-I,Y,20,21,509,510-530,531-885,53.9,83.7,Y,M03,114943,#18,5,O,O,,LRR-RK
155,AT2G28970,AT2G28970.1,AT2G28970 ,,RLK,LRR-I,Y,19,20,411,412-432,433-786,43.7,73.5,Y,X318,,#6,3,O,O,,LRR-RK
156,AT2G28990,AT2G28990.1,AT2G28990 ,,RLK,LRR-I,Y,19,20,506,507-529,530-884,54.5,84.3,Y,N01,114951,#19,5,O,O,,LRR-RK
157,AT1G51810,AT1G51810.1,AT1G51810 ,,RLK,LRR-I,Y,0,1,385,386-406,407-744,43.2,73,Y,M02,114942,#18,4,O,,,LRR-RK
158,AT3G46370,AT3G46370.2,AT3G46370 ,,RLK,LRR-I,Y,0,1,428,429-450,451-793,48.3,78.1,Y,N08,114957,#21,5,O,O,,LRR-RK
159,AT1G51830,AT1G51830.2,AT1G51830 SIF1,SIF1,RLK,LRR-I,Y,0,1,326,327-347,348-700,36.1,65.9,Y,X326,,#7,1,O,O,,LRR-RK
160,AT1G28340,AT1G28340.1,AT1G28340 RLP4/LLR2,RLP4/LLR2,RLP,LRR-RLP,Y,22,23,549,550-570,571-626,57.4,87.2,Y,X084,,#13,4,O,O,,LRR-RLP
161,AT5G38210,AT5G38210.1,AT5G38210 LRK10L3,LRK10L3,RLK,WAKL,Y,33,34,263,264-284,285-686,24.9,54.7,Y,X288,,#5,5,O,O,,WAK
162,AT1G18390,AT1G18390.1,AT1G18390 LRK10L1,LRK10L1,RLK,WAKL,Y,23,24,261,262-282,283-648,26.6,56.4,Y,X287,,#4,4,O,O,,WAK
163,AT4G18250,AT4G18250.1,AT4G18250 ,,RLK,LRK10L-2,Y,10,11,463,464-484,485-853,50.2,80,Y,X300,,#5,5,O,O,,Etc
164,AT4G23290,AT4G23290.2,AT4G23290 CRK21,CRK21,RLK,DUF26,Y,24,25,280,281-303,304-690,28.6,58.4,Y,X161,,#1,5,O,O,,CRK
165,AT5G38240,AT5G38240.1,AT5G38240 ,,RLK,LRK10L-2,Y,30,31,253,254-263,264-588,24.3,54.1,Y,X292,,#5,2,O,O,,Etc
166,AT5G38250,AT5G38250.1,AT5G38250 ,,RLK,LRK10L-2,Y,30,31,255,256-265,266-579,25.1,54.9,Y,X293,,#5,4,O,O,,Etc
167,AT1G66920,AT1G66920.1,AT1G66920 ,,RLK,LRK10L-2,Y,26,27,237,238-257,258-609,23.6,53.4,Y,X294,,#4,4,O,O,,Etc
168,AT1G66980,AT1G66980.1,AT1G66980 GDPDL2/SNC4,GDPDL2/SNC4,RLK,LRK10L-2,Y,36,37,751,752-772,773-1118,78.8,108.6,Y,X296,,#6,0,,O,,Etc
169,AT3G02130,AT3G02130.1,AT3G02130 CLI1/RPK2/TOAD2,CLI1/RPK2/TOAD2,RLK,LRR-XV,Y,43,44,811,812-832,833-1151,82.7,112.5,Y,X042,115135,#20,3,O,O,,LRR-RK
170,AT5G63710,AT5G63710.3,AT5G63710 APEX/HUB2,APEX/HUB2,RLK,LRR-II,Y,47,48,225,226-246,247-615,19.2,49,Y,I04,114979,#8,5,O,O,,LRR-RK
171,AT5G37450,AT5G37450.2,AT5G37450 ,,RLK,LRR-VIII-1,Y,24,25,589,590-610,611-983,62.5,92.3,Y,X025,,#22,5,O,O,,LRR-RK
172,AT3G53590,AT3G53590.1,AT3G53590 ,,RLK,LRR-VIII-1,Y,33,34,557,558-578,579-944,59.3,89.1,Y,X063,115064,#22,1,O,O,,LRR-RK
173,AT5G01950,AT5G01950.7,AT5G01950 ,,RLK,LRR-VIII-1,Y,25,26,562,563-583,584-956,60.8,90.6,Y,X064,115065,#22,4,O,O,,LRR-RK
174,AT1G06840,AT1G06840.1,AT1G06840 HAK1,HAK1,RLK,LRR-VIII-1,Y,28,29,563,564-584,585-953,59.5,89.3,Y,X062,115052,#20,5,O,O,,LRR-RK
175,AT5G10290,AT5G10290.2,AT5G10290 TIRK,TIRK,RLK,LRR-II,Y,27,28,225,226-246,247-613,21.4,51.2,Y,I02,114976,,,,,,LRR-RK
176,AT5G65240,AT5G65240.2,AT5G65240 ,,RLK,LRR-II,Y,20,21,219,220-240,241-640,21.2,51,Y,I05,114980,,,,,,LRR-RK
177,AT5G16000,AT5G16000.1,AT5G16000 NIK1,NIK1,RLK,LRR-II,Y,31,32,254,255-271,272-638,24,53.9,Y,A11,114977,#8,5,O,O,,LRR-RK
178,AT3G25560,AT3G25560.3,AT3G25560 NIK2,NIK2,RLK,LRR-II,Y,32,33,248,249-269,270-647,23.4,53.2,Y,A09,114973,#8,5,O,O,,LRR-RK
179,AT4G30520,AT4G30520.1,AT4G30520 CIK3/SARK,CIK3/SARK,RLK,LRR-II,Y,30,31,238,239-259,260-648,22.3,52.1,Y,,,,,,,,LRR-RK
180,AT2G23950,AT2G23950.1,AT2G23950 CIK2/CLERK,CIK2/CLERK,RLK,LRR-II,Y,27,28,236,237-257,258-634,22.5,52.3,Y,I01,114972,#12,3,O,O,,LRR-RK
181,AT1G60800,AT1G60800.1,AT1G60800 NIK3/CIK1,NIK3/CIK1,RLK,LRR-II,Y,25,26,237,238-258,259-632,22.6,52.4,Y,nA05,114969,#8,5,O,O,,LRR-RK
182,AT5G45780,AT5G45780.1,AT5G45780 CIK4/HUB3,CIK4/HUB3,RLK,LRR-II,Y,26,27,239,240-260,261-614,22.8,52.6,Y,I03,114978,,,,,,LRR-RK
183,AT1G71830,AT1G71830.1,AT1G71830 SERK1,SERK1,RLK,LRR-II,Y,26,27,243,244-262,263-625,23.1,52.9,Y,A06,114967,#8,5,O,O,,LRR-RK
184,AT1G34210,AT1G34210.2,AT1G34210 SERK2,SERK2,RLK,LRR-II,Y,29,30,242,243-263,264-628,22.8,52.7,Y,P05,114968,#8,5,O,O,,LRR-RK
185,AT2G13800,AT2G13800.3,AT2G13800 SERK5/BAK8,SERK5/BAK8,RLK,LRR-II,Y,24,25,215,216-236,237-601,20.6,50.4,Y,A08,114971,#8,5,O,O,,LRR-RK
186,AT2G13790,AT2G13790.1,AT2G13790 SERK4/BKK1/BAK7,SERK4/BKK1/BAK7,RLK,LRR-II,Y,29,30,231,232-252,253-620,21.5,51.3,Y,A07,114970,#8,5,O,O,,LRR-RK
187,AT4G33430,AT4G33430.2,AT4G33430 SERK3/BAK1,SERK3/BAK1,RLK,LRR-II,Y,25,26,277,278-294,295-662,27.2,57,Y,BAK1,,#8,5,O,O,,LRR-RK
188,AT4G18760,AT4G18760.1,AT4G18760 RLP51/SNC2,RLP51/SNC2,RLP,LRR-RLP,Y,21,22,404,405-427,428-431,41,70.8,Y,X107,,#13,3,O,O,,LRR-RLP
189,AT5G10020,AT5G10020.1,AT5G10020 SIRK1,SIRK1,RLK,LRR-III,Y,21,22,601,602-622,623-1048,63.1,92.9,Y,X022,115020,#19,2,O,O,,LRR-RK
190,AT4G20940,AT4G20940.1,AT4G20940 GHR1,GHR1,RLK,LRR-III,Y,0,1,613,614-634,635-1037,65.7,95.5,Y,X017,115047,#19,0,,,,LRR-RK
191,AT2G27060,AT2G27060.1,AT2G27060 FIR,FIR,RLK,LRR-III,Y,20,21,565,566-586,587-1020,58.4,88.2,Y,B10,115008,#18,2,O,O,,LRR-RK
192,AT2G02220,AT2G02220.1,AT2G02220 PSKR1,PSKR1,RLK,LRR-Xb,Y,25,26,659,660-680,681-1008,69.9,99.8,Y,C05,115082,#10,1,O,O,,LRR-RK
193,AT5G53890,AT5G53890.1,AT5G53890 PSKR2,PSKR2,RLK,LRR-Xb,Y,16,17,679,680-700,701-1036,72.6,102.4,Y,nC10,115089,#10,0,,,,LRR-RK
194,AT1G17250,AT1G17250.1,AT1G17250 RLP3/RFO2,RLP3/RFO2,RLP,LRR-RLP,Y,50,51,725,726-738,739-756,74.5,104.3,Y,E07,,#11,5,O,O,,LRR-RLP
195,AT1G72300,AT1G72300.1,AT1G72300 PSYR,PSYR,RLK,LRR-Xb,Y,46,47,724,725-740,741-1095,74.4,104.2,Y,C03,115079,#22,0,,,,LRR-RK
196,AT1G17240,AT1G17240.2,AT1G17240 RLP2,RLP2,RLP,LRR-RLP,Y,49,50,712,713-733,734-734,73.2,103,Y,E08,,#11,0,,,,LRR-RLP
197,AT5G58150,AT5G58150.1,AT5G58150 ,,RLK,LRR-VII,Y,21,22,438,439-459,460-785,46,75.8,Y,X309,,#6,2,O,O,,LRR-RK
198,AT2G24230,AT2G24230.1,AT2G24230 ,,RLK,LRR-VII,Y,23,24,455,456-477,478-853,47.5,77.3,Y,X040,115083,#12,0,,,,LRR-RK
199,AT3G28040,AT3G28040.1,AT3G28040 ,,RLK,LRR-VII,Y,26,27,646,647-667,668-1016,67.6,97.4,Y,X014,115045,#19,5,O,O,,LRR-RK
200,AT3G56370,AT3G56370.1,AT3G56370 IRK,IRK,RLK,LRR-VII,Y,20,21,604,605-624,625-964,62.5,92.3,Y,X015,115046,#19,3,O,O,,LRR-RK
201,AT5G01890,AT5G01890.1,AT5G01890 PXC2,PXC2,RLK,LRR-VII,Y,20,21,609,610-630,631-967,63.2,93,Y,X021,115049,#3,5,O,O,,LRR-RK
202,AT4G08850,AT4G08850.1,AT4G08850 MIK2,MIK2,RLK,LRR-XII,Y,46,47,708,709-732,733-1045,72.8,102.6,Y,X051,115105,#22,3,O,O,,LRR-RK
203,AT1G35710,AT1G35710.1,AT1G35710 ,,RLK,LRR-XII,Y,29,30,785,786-807,808-1120,83.1,112.9,Y,X075,115098,#20,0,,O,,LRR-RK
204,AT2G25790,AT2G25790.1,AT2G25790 SKM1,SKM1,RLK,LRR-IV,Y,29,30,633,634-654,655-960,66.3,96.1,Y,A12,115022,#18,1,O,O,,LRR-RK
205,AT1G17230,AT1G17230.2,AT1G17230 ,,RLK,LRR-XI,Y,23,24,734,735-755,756-1133,78.6,108.4,Y,X074,115096,#20,3,O,O,,LRR-RK
206,AT2G33170,AT2G33170.2,AT2G33170 ,,RLK,LRR-XI,Y,32,33,752,753-773,774-1124,78.7,108.5,Y,X049,115101,#21,3,O,O,,LRR-RK
207,AT5G63930,AT5G63930.1,AT5G63930 ,,RLK,LRR-XI,Y,26,27,737,738-758,759-1102,77.4,107.2,Y,X059,115116,#20,1,O,O,,LRR-RK
208,AT1G34110,AT1G34110.1,AT1G34110 RGI5,RGI5,RLK,LRR-XI,Y,26,27,709,710-719,720-1072,73.3,103.1,Y,X047,115097,#21,0,,,,LRR-RK
209,AT5G56040,AT5G56040.2,AT5G56040 RGI4/SKM2,RGI4/SKM2,RLK,LRR-XI,Y,27,28,706,707-716,717-1090,73.7,103.6,Y,X057,115114,#20,5,O,O,,LRR-RK
210,AT5G48940,AT5G48940.1,AT5G48940 RGI2/RGFR2/RCH1,RGI2/RGFR2/RCH1,RLK,LRR-XI,Y,35,36,723,724-745,746-1135,74.4,104.2,Y,X055,115112,#22,0,,,,LRR-RK
211,AT3G24240,AT3G24240.1,AT3G24240 RGI1/RGFR1,RGI1/RGFR1,RLK,LRR-XI,Y,33,34,725,726-747,748-1141,74.2,104,Y,X077,115103,#21,0,,,,LRR-RK
212,AT1G17750,AT1G17750.1,AT1G17750 PEPR2,PEPR2,RLK,LRR-XI,Y,26,27,739,740-760,761-1088,77.2,107,Y,nD01,115093,#10,0,,,,LRR-RK
213,AT1G73080,AT1G73080.1,AT1G73080 PEPR1,PEPR1,RLK,LRR-XI,Y,28,29,769,770-791,792-1123,80.3,110.1,Y,nD02,115092,#10,0,,,,LRR-RK
214,AT4G20270,AT4G20270.1,AT4G20270 BAM3,BAM3,RLK,LRR-XI,Y,22,23,656,657-677,678-992,70.1,100,Y,X078,115106,#10,4,O,O,,LRR-RK
215,AT1G75820,AT1G75820.1,AT1G75820 CLV1/FAS3/FLO5,CLV1/FAS3/FLO5,RLK,LRR-XI,Y,24,25,640,641-659,660-980,67.3,97.1,Y,L02,115100,#10,5,O,O,,LRR-RK
216,AT5G65700,AT5G65700.2,AT5G65700 BAM1,BAM1,RLK,LRR-XI,Y,19,20,641,642-661,662-1003,67.1,96.9,Y,X060,115117,#10,5,O,O,,LRR-RK
217,AT3G49670,AT3G49670.1,AT3G49670 BAM2,BAM2,RLK,LRR-XI,Y,18,19,637,638-657,658-1002,67,96.8,Y,X050,115104,#10,5,O,O,,LRR-RK
218,AT1G08590,AT1G08590.1,AT1G08590 PXL1,PXL1,RLK,LRR-XI,Y,23,24,644,645-665,666-1029,67.2,97,Y,X046,115094,#20,4,O,O,,LRR-RK
219,AT4G28650,AT4G28650.1,AT4G28650 MIK1/PXL2,MIK1/PXL2,RLK,LRR-XI,Y,23,24,634,635-655,656-1013,65.6,95.4,Y,X053,115109,#22,5,O,O,,LRR-RK
220,AT5G51350,AT5G51350.1,AT5G51350 MOL1,MOL1,RLK,LRR-XIV,Y,24,25,589,590-610,611-895,61.8,91.6,Y,X310,,#6,2,O,O,,LRR-RK
221,AT5G61480,AT5G61480.1,AT5G61480 PXY,PXY,RLK,LRR-XI,Y,29,30,653,654-674,675-1041,68.7,98.5,Y,X058,115115,#21,5,O,O,,LRR-RK
222,AT5G06940,AT5G06940.1,AT5G06940 ,,RLK,LRR-XI,Y,26,27,540,541-561,562-872,55.6,85.5,Y,X313,,#6,0,,,,LRR-RK
223,AT1G72180,AT1G72180.1,AT1G72180 CEPR2,CEPR2,RLK,LRR-XI,Y,31,32,619,620-640,641-977,64.7,94.5,Y,,,,,,O,,LRR-RK
224,AT5G65710,AT5G65710.1,AT5G65710 HSL2,HSL2,RLK,LRR-XI,Y,24,25,631,632-652,653-993,67.4,97.3,Y,D04,115090,#10,2,O,O,,LRR-RK
225,AT1G28440,AT1G28440.1,AT1G28440 HSL1,HSL1,RLK,LRR-XI,Y,15,16,618,619-639,640-996,65,94.8,Y,X329,,#7,2,O,O,,LRR-RK
226,AT4G28490,AT4G28490.1,AT4G28490 HAESA/RLK5,HAESA/RLK5,RLK,LRR-XI,Y,20,21,626,627-647,648-999,66.2,96,Y,D03,115108,#10,5,O,O,,LRR-RK
227,AT5G49660,AT5G49660.1,AT5G49660 CEPR1/XIP1,CEPR1/XIP1,RLK,LRR-XI,Y,24,25,593,594-613,614-966,62.4,92.2,Y,X056,115113,#20,5,O,O,,LRR-RK
228,AT4G26540,AT4G26540.1,AT4G26540 RGI3/RGFR3,RGI3/RGFR3,RLK,LRR-XI,Y,24,25,699,700-720,721-1091,73.6,103.4,Y,X052,115107,#22,5,O,O,,LRR-RK
229,AT5G07280,AT5G07280.1,AT5G07280 EMS1/EXS,EMS1/EXS,RLK,LRR-Xb,Y,18,19,832,833-848,849-1192,87.7,117.5,Y,X044,115087,#20,5,O,O,,LRR-RK
230,AT2G24130,AT2G24130.2,AT2G24130 ,,RLK,LRR-XII,Y,20,21,608,609-629,630-995,64.2,94,Y,L04,115121,#18,0,,,,LRR-RK
231,AT1G67510,AT1G67510.1,AT1G67510 ,,RLK,LRR-III,Y,22,23,314,315-337,338-719,31.4,61.2,Y,X006,115011,#12,3,O,O,,LRR-RK
232,AT1G66830,AT1G66830.1,AT1G66830 ,,RLK,LRR-III,Y,21,22,305,306-326,327-685,30.9,60.7,Y,X005,115010,#21,4,O,O,,LRR-RK
233,AT2G01210,AT2G01210.1,AT2G01210 ,,RLK,LRR-III,Y,20,21,320,321-341,342-716,32.3,62.1,Y,X007,115012,#12,1,O,O,,LRR-RK
234,AT1G25320,AT1G25320.1,AT1G25320 ORPK1/ZAR1,ORPK1/ZAR1,RLK,LRR-III,Y,22,23,317,318-338,339-702,31.3,61.1,Y,X002,115009,#12,0,,,,LRR-RK
235,AT5G46330,AT5G46330.2,AT5G46330 FLS2,FLS2,RLK,LRR-XII,Y,23,24,806,807-827,828-1173,85.5,115.3,Y,FLS2,115120,,,,,,LRR-RK
236,AT4G20140,AT4G20140.1,AT4G20140 GSO1,GSO1,RLK,LRR-XI,Y,18,19,874,875-895,896-1249,93.3,123.1,Y,L03,115091,#10,4,O,O,,LRR-RK
237,AT5G44700,AT5G44700.1,AT5G44700 SGN3/GSO1,SGN3/GSO1,RLK,LRR-XI,Y,22,23,874,875-895,896-1252,93,122.8,Y,X079,115111,#10,1,O,O,,LRR-RK
238,AT2G26330,AT2G26330.1,AT2G26330 ERECTA/QRP1,ERECTA/QRP1,RLK,LRR-XIIIb,Y,24,25,582,583-601,602-976,60.8,90.6,Y,C06,115127,#10,5,O,O,,LRR-RK
239,AT5G62230,AT5G62230.1,AT5G62230 ERL1,ERL1,RLK,LRR-XIIIb,Y,25,26,582,583-603,604-966,60.5,90.4,Y,C11,115129,#10,5,O,O,,LRR-RK
240,AT5G07180,AT5G07180.1,AT5G07180 ERL2,ERL2,RLK,LRR-XIIIb,Y,27,28,587,588-606,607-967,60.9,90.7,Y,C08,115131,#10,5,O,O,,LRR-RK
241,AT1G34420,AT1G34420.1,AT1G34420 BTL2,BTL2,RLK,LRR-XI,Y,37,38,611,612-632,633-966,62.6,92.4,Y,X003,115074,#21,3,O,O,,LRR-RK
242,AT2G41820,AT2G41820.1,AT2G41820 PXC3,PXC3,RLK,LRR-XI,Y,23,24,534,535-555,556-890,55.6,85.4,Y,X011,115118,,,,,,LRR-RK
