"Treatment","Trial","VALUE"
"01 WT_Mock","Trial01",3.939928427
"01 WT_Mock","Trial01",3.696890378
"01 WT_Mock","Trial01",3.571951641
"01 WT_Mock","Trial01",3.395860382
"02 WT_RG.I","Trial01",3.872981637
"02 WT_RG.I","Trial01",3.793800391
"02 WT_RG.I","Trial01",3.395860382
"02 WT_RG.I","Trial01",3.571951641
"03 WT_flg22","Trial01",3.939928427
"03 WT_flg22","Trial01",3.793800391
"03 WT_flg22","Trial01",3.939928427
"03 WT_flg22","Trial01",3.395860382
"04 efrfls2_Mock","Trial01",3.939928427
"04 efrfls2_Mock","Trial01",3.793800391
"04 efrfls2_Mock","Trial01",3.571951641
"04 efrfls2_Mock","Trial01",3.696890378
"05 efrfls2_RG.I","Trial01",3.696890378
"05 efrfls2_RG.I","Trial01",3.395860382
"05 efrfls2_RG.I","Trial01",3.094830387
"05 efrfls2_RG.I","Trial01",3.571951641
"06 efrfls2_flg22","Trial01",3.939928427
"06 efrfls2_flg22","Trial01",3.696890378
"06 efrfls2_flg22","Trial01",3.997920374
"06 efrfls2_flg22","Trial01",3.696890378
"07 WT_Mock.1","Trial01",6.174011633
"07 WT_Mock.1","Trial01",6.270921646
"07 WT_Mock.1","Trial01",6.270921646
"07 WT_Mock.1","Trial01",6.373583988
"07 WT_Mock.1","Trial01",6.094830387
"07 WT_Mock.1","Trial01",6.696890378
"07 WT_Mock.1","Trial01",6.793800391
"07 WT_Mock.1","Trial01",6.571951641
"08 WT_RG.I.1","Trial01",5.997920374
"08 WT_RG.I.1","Trial01",6.298950369
"08 WT_RG.I.1","Trial01",6.373583988
"08 WT_RG.I.1","Trial01",6.270921646
"08 WT_RG.I.1","Trial01",5.872981637
"08 WT_RG.I.1","Trial01",6.094830387
"08 WT_RG.I.1","Trial01",5.997920374
"08 WT_RG.I.1","Trial01",6.240958422
"09 WT_flg22.1","Trial01",5.872981637
"09 WT_flg22.1","Trial01",5.872981637
"09 WT_flg22.1","Trial01",5.872981637
"09 WT_flg22.1","Trial01",5.793800391
"09 WT_flg22.1","Trial01",5.997920374
"09 WT_flg22.1","Trial01",5.571951641
"09 WT_flg22.1","Trial01",5.395860382
"09 WT_flg22.1","Trial01",5.696890378
"10 efrfls2_Mock.1","Trial01",7.939928427
"10 efrfls2_Mock.1","Trial01",7.939928427
"10 efrfls2_Mock.1","Trial01",7.872981637
"10 efrfls2_Mock.1","Trial01",7.997920374
"10 efrfls2_Mock.1","Trial01",7.571951641
"10 efrfls2_Mock.1","Trial01",7.395860382
"10 efrfls2_Mock.1","Trial01",7.395860382
"10 efrfls2_Mock.1","Trial01",7.094830387
"11 efrfls2_RG.I.1","Trial01",7.094830387
"11 efrfls2_RG.I.1","Trial01",7.395860382
"11 efrfls2_RG.I.1","Trial01",7.395860382
"11 efrfls2_RG.I.1","Trial01",7.872981637
"11 efrfls2_RG.I.1","Trial01",6.395860382
"11 efrfls2_RG.I.1","Trial01",6.437253067
"11 efrfls2_RG.I.1","Trial01",6.509803735
"11 efrfls2_RG.I.1","Trial01",6.417049681
"12 efrfls2_flg22.1","Trial01",7.571951641
"12 efrfls2_flg22.1","Trial01",7.571951641
"12 efrfls2_flg22.1","Trial01",7.094830387
"12 efrfls2_flg22.1","Trial01",7.696890378
"12 efrfls2_flg22.1","Trial01",7.094830387
"12 efrfls2_flg22.1","Trial01",7.094830387
"12 efrfls2_flg22.1","Trial01",7.571951641
"12 efrfls2_flg22.1","Trial01",7.395860382
"01 WT_Mock","Trial02",3.793800391
"01 WT_Mock","Trial02",3.094830387
"01 WT_Mock","Trial02",3.395860382
"01 WT_Mock","Trial02",3.395860382
"02 WT_RG.I","Trial02",3.395860382
"02 WT_RG.I","Trial02",3.571951641
"02 WT_RG.I","Trial02",3.395860382
"02 WT_RG.I","Trial02",3.793800391
"03 WT_flg22","Trial02",3.872981637
"03 WT_flg22","Trial02",3.939928427
"03 WT_flg22","Trial02",3.571951641
"03 WT_flg22","Trial02",3.793800391
"04 efrfls2_Mock","Trial02",3.395860382
"04 efrfls2_Mock","Trial02",3.793800391
"04 efrfls2_Mock","Trial02",3.571951641
"04 efrfls2_Mock","Trial02",3.696890378
"05 efrfls2_RG.I","Trial02",3.696890378
"05 efrfls2_RG.I","Trial02",3.696890378
"05 efrfls2_RG.I","Trial02",3.793800391
"05 efrfls2_RG.I","Trial02",3.094830387
"06 efrfls2_flg22","Trial02",3.939928427
"06 efrfls2_flg22","Trial02",3.997920374
"06 efrfls2_flg22","Trial02",3.793800391
"06 efrfls2_flg22","Trial02",3.696890378
"07 WT_Mock.1","Trial02",6.793800391
"07 WT_Mock.1","Trial02",6.571951641
"07 WT_Mock.1","Trial02",6.696890378
"07 WT_Mock.1","Trial02",6.571951641
"07 WT_Mock.1","Trial02",6.571951641
"07 WT_Mock.1","Trial02",6.793800391
"07 WT_Mock.1","Trial02",6.395860382
"07 WT_Mock.1","Trial02",6.571951641
"08 WT_RG.I.1","Trial02",6.136223072
"08 WT_RG.I.1","Trial02",6.094830387
"08 WT_RG.I.1","Trial02",6.136223072
"08 WT_RG.I.1","Trial02",6.049072896
"08 WT_RG.I.1","Trial02",5.793800391
"08 WT_RG.I.1","Trial02",6.094830387
"08 WT_RG.I.1","Trial02",6.049072896
"08 WT_RG.I.1","Trial02",6.174011633
"09 WT_flg22.1","Trial02",5.997920374
"09 WT_flg22.1","Trial02",5.997920374
"09 WT_flg22.1","Trial02",6.136223072
"09 WT_flg22.1","Trial02",6.094830387
"09 WT_flg22.1","Trial02",6.094830387
"09 WT_flg22.1","Trial02",5.997920374
"09 WT_flg22.1","Trial02",6.174011633
"09 WT_flg22.1","Trial02",6.208773739
"10 efrfls2_Mock.1","Trial02",7.094830387
"10 efrfls2_Mock.1","Trial02",7.395860382
"10 efrfls2_Mock.1","Trial02",7.793800391
"10 efrfls2_Mock.1","Trial02",7.094830387
"10 efrfls2_Mock.1","Trial02",7.395860382
"10 efrfls2_Mock.1","Trial02",7.571951641
"10 efrfls2_Mock.1","Trial02",7.395860382
"10 efrfls2_Mock.1","Trial02",7.395860382
"11 efrfls2_RG.I.1","Trial02",6.939928427
"11 efrfls2_RG.I.1","Trial02",7.094830387
"11 efrfls2_RG.I.1","Trial02",7.174011633
"11 efrfls2_RG.I.1","Trial02",7.049072896
"11 efrfls2_RG.I.1","Trial02",7.373583988
"11 efrfls2_RG.I.1","Trial02",7.208773739
"11 efrfls2_RG.I.1","Trial02",7.240958422
"11 efrfls2_RG.I.1","Trial02",7.270921646
"12 efrfls2_flg22.1","Trial02",7.350102892
"12 efrfls2_flg22.1","Trial02",7.350102892
"12 efrfls2_flg22.1","Trial02",7.395860382
"12 efrfls2_flg22.1","Trial02",7.325279308
"12 efrfls2_flg22.1","Trial02",7.793800391
"12 efrfls2_flg22.1","Trial02",7.696890378
"12 efrfls2_flg22.1","Trial02",7.094830387
"12 efrfls2_flg22.1","Trial02",7.395860382
