wt_0h,wt_2h,arm13qd-06_0h,arm13qd-06_2h,arm13qd-18_0h,arm13qd-18_2h,flg22_0h,flg22_2h
0.933032992,26.17286587,0.930879716,23.97291323,,,0.995389679,78.79324245
1.064370182,24.25146506,0.92444966,25.33980177,,,0.98851402,88.64700596
1.00695555,28.64080227,1.162045587,20.44014228,,,1.016304932,82.13925744
1.016304932,26.78462761,,,1.002313162,25.10669113,1.035264924,76.81591467
1.044877153,24.99094123,,,0.995389679,25.99207668,1.028113827,83.47853246
0.941696017,29.51411819,,,1.002313162,28.24649588,0.939522749,90.7190315
,,,,,,,
1.023373892,21.39663092,1.037659659,24.80647913,,,0.965936329,70.97857693
0.897095409,22.9323412,1.002313162,27.14557386,,,1.042465761,69.51785894
1.089248656,24.23989836,0.961483052,23.46835927,,,0.993092495,65.76790204
1.059463094,21.29798558,,,0.993092495,23.03855634,1.00695555,65.61612133
0.909618394,22.04905742,,,0.979420298,22.56442971,1.021012126,61.22200597
1.037659659,22.51235499,,,1.028113827,23.68625832,0.972654947,69.83984303