wt_0h,wt_2h,arm2a-1_0h,arm2a-1_2h,arm2a-2_0h,arm2a-2_2h,flg22_0h,flg22_2h
1.069299999,32.48505327,1.021012126,34.41671506,,,1.069299999,75.15015455
1.025741121,32.71100469,0.907519155,35.87824705,,,1.025741121,73.09516962
0.911722489,29.89234485,1.079228237,32.33528675,,,0.911722489,70.6052798
,,,,,,,
1.037659659,18.5746282,1.117287138,24.45280555,,,0.993092495,90.63071082
0.995389679,20.46747784,1,23.7841423,,,1.00695555,90.00467878
0.968170696,20.60984041,0.895025071,22.34574276,,,1,91.26109727
,,,,,,,
0.974904856,18.8087665,,,1.037659659,20.2989519,1.178267139,90.9288793
0.98851402,18.16807087,,,1.044877153,18.93959182,0.816014485,88.44242432
1.037659659,17.30759466,,,0.922316194,16.60255455,1.040059934,81.38362665
,,,,,,,
0.933032992,24.62416832,,,0.922316194,34.42384697,1.040059934,83.78788543
1.132883885,24.79544296,,,1.016304932,33.25124437,0.970410231,88.56530648
0.946057647,22.6588556,,,1.066832243,32.34198734,0.990800613,79.81952344