wt_0h,wt_2h,arm2b-1_0h,arm2b-1_2h,arm2b-2_0h,arm2b-2_2h,flg22_0h,flg22_2h
1.016304932,17.18804237,0.73883972,14.5538943,,,0.611320139,86.22294892
0.698984967,18.04257483,1.208597056,14.65512464,,,1.248330549,86.22294892
1.407693584,16.14855682,1.119871604,14.96305997,,,1.310393404,85.62736351
,,,,,,,
1.242575344,23.48077843,1.117287138,27.66662962,,,,
1.037659659,24.64816486,0.742261785,25.63556871,,,,
0.775572381,22.52426824,1.205807828,22.78598763,,,,
0.963707118,18.87846763,,,1.277508892,24.85279883,1.049716684,81.12097535
1.047294123,19.54421535,,,0.890898718,24.85279883,0.993092495,81.12097535
0.990800613,17.61423312,,,0.878633452,23.0283067,0.959264119,81.12097535
,,,,,,,
0.979420298,32.9909995,,,1.119871604,32.16308561,1.112136086,80.85885754
0.858565436,32.53680266,,,0.974904856,32.38679756,1.016304932,81.98760513
1.189207115,32.9909995,,,0.91594529,35.68717792,0.884744831,83.13210945